Supplement ID,Name (EN),Name (AR),Category,Purpose (EN),Purpose (AR),Dosage,Timing,Who Needs It,Safety Notes (EN),Safety Notes (AR),Priority
SUP001,Whey Protein,واي بروتين,Protein,Complete protein for muscle building and recovery,بروتين كامل لبناء العضلات والتعافي,20-40g per serving,Post-workout or between meals,Anyone struggling to hit protein goals,Generally safe. Check for lactose intolerance.,آمن عموماً. تحقق من حساسية اللاكتوز.,Essential
SUP002,Creatine Monohydrate,كرياتين مونوهيدرات,Performance,Increases strength power and muscle mass,يزيد القوة والطاقة والكتلة العضلية,5g daily,Any time consistently,Anyone doing strength training,Most researched supplement. Very safe.,أكثر المكملات بحثاً. آمن جداً.,Essential
SUP003,Vitamin D3,فيتامين د3,Health,Bone health immune function mood,صحة العظام والمناعة والمزاج,1000-5000 IU daily,With fatty meal,Most people especially in Saudi Arabia,Get blood test to check levels first.,احصل على فحص دم للمستويات أولاً.,Essential
SUP004,Omega-3 Fish Oil,أوميغا 3 زيت السمك,Health,Heart health joint health inflammation,صحة القلب والمفاصل والالتهابات,1-3g EPA/DHA daily,With meals,Everyone not eating fatty fish regularly,Choose quality brand to avoid contaminants.,اختر علامة جودة لتجنب الملوثات.,Important
SUP005,Caffeine,كافيين,Performance,Energy focus pre-workout boost,الطاقة والتركيز ودفعة قبل التمرين,100-400mg,30-60 min before workout,Those needing energy boost,Don't exceed 400mg/day. Avoid after 2pm.,لا تتجاوز 400 ملجم/يوم. تجنبه بعد الساعة 2.,Optional
SUP006,ZMA,زي إم إيه,Recovery,Zinc magnesium for recovery and sleep,زنك ومغنيسيوم للتعافي والنوم,Follow label,Before bed on empty stomach,Those with poor sleep or recovery,Don't take with calcium.,لا تأخذه مع الكالسيوم.,Optional
SUP007,Beta-Alanine,بيتا ألانين,Performance,Reduces muscle fatigue during high-rep training,يقلل إرهاق العضلات خلال التكرارات العالية,3-5g daily,Pre-workout or split doses,Those doing high-rep or endurance training,Causes harmless tingling sensation.,يسبب إحساس وخز غير ضار.,Optional
SUP008,Citrulline Malate,سيترولين مالات,Performance,Better pumps blood flow and endurance,ضخ أفضل وتدفق دم وتحمل,6-8g,30 min before workout,Those wanting better pumps and performance,Very safe. No major side effects.,آمن جداً. لا آثار جانبية كبيرة.,Optional
SUP009,Multivitamin,فيتامينات متعددة,Health,Fill nutritional gaps in diet,سد الفجوات الغذائية في النظام,1 serving daily,With breakfast,Those with restricted diets,Food first. Supplement gaps only.,الطعام أولاً. المكملات للفجوات فقط.,Important
SUP010,Magnesium,مغنيسيوم,Health,Muscle function sleep stress reduction,وظيفة العضلات والنوم وتقليل الإجهاد,200-400mg,Before bed,Most people are deficient,Glycinate form best for sleep.,شكل الجلايسينات أفضل للنوم.,Important
SUP011,BCAA,أحماض أمينية متفرعة,Protein,Muscle preservation during fasted training,الحفاظ على العضلات خلال التمرين صائماً,5-10g,During workout if fasted,Only if training fasted,Unnecessary if eating protein around workout.,غير ضروري إذا تأكل بروتين حول التمرين.,Optional
SUP012,Protein Bars,ألواح البروتين,Protein,Convenient protein snack on the go,سناك بروتين مريح أثناء التنقل,1 bar (20-30g protein),Snack time,Busy people needing convenience,Check sugar content. Some are candy bars.,تحقق من محتوى السكر. بعضها ألواح حلوى.,Optional
