Meal ID,Program ID,Day,Meal Number,Meal Name (EN),Meal Name (AR),Time,Calories,Protein (g),Carbs (g),Fat (g),Ingredients (EN),Ingredients (AR),Prep Time (min),Image URL
MP001,DP001,1,1,Protein Oatmeal,شوفان بالبروتين,07:00,350,25,45,8,"1 cup oats, 1 scoop whey, 1 tbsp honey, berries","كوب شوفان، سكوب واي، ملعقة عسل، توت",10,https://images.unsplash.com/photo-1517673400267-0251440c45dc?w=300
MP002,DP001,1,2,Grilled Chicken Salad,سلطة دجاج مشوي,12:00,400,35,20,20,"150g chicken breast, mixed greens, olive oil, vegetables","150 جرام صدر دجاج، خضار مشكلة، زيت زيتون، خضروات",20,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=300
MP003,DP001,1,3,Greek Yogurt Snack,سناك زبادي يوناني,15:00,150,15,12,5,"200g Greek yogurt, almonds, honey","200 جرام زبادي يوناني، لوز، عسل",5,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=300
MP004,DP001,1,4,Salmon with Vegetables,سلمون مع خضار,19:00,450,40,25,22,"200g salmon, broccoli, brown rice, lemon","200 جرام سلمون، بروكلي، أرز بني، ليمون",25,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=300
MP005,DP003,1,1,Mass Gainer Shake,شيك زيادة الكتلة,07:00,600,40,80,12,"2 scoops whey, banana, oats, milk, peanut butter","2 سكوب واي، موز، شوفان، حليب، زبدة فول سوداني",5,https://images.unsplash.com/photo-1553530666-ba11a7da3888?w=300
MP006,DP003,1,2,Eggs and Toast,بيض وتوست,09:30,450,25,40,22,"4 eggs, 2 whole wheat toast, avocado","4 بيضات، 2 توست قمح كامل، أفوكادو",15,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
MP007,DP003,1,3,Chicken Rice Bowl,طبق دجاج وأرز,12:30,650,45,70,18,"200g chicken, 1.5 cups rice, vegetables, teriyaki","200 جرام دجاج، 1.5 كوب أرز، خضار، ترياكي",25,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=300
MP008,DP003,1,4,Pre-Workout Snack,سناك قبل التمرين,16:00,300,15,50,5,"Rice cakes, banana, honey","كيك الأرز، موز، عسل",5,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=300
MP009,DP003,1,5,Post-Workout Meal,وجبة بعد التمرين,19:00,700,50,80,20,"250g beef, sweet potato, green beans","250 جرام لحم بقر، بطاطا حلوة، فاصوليا خضراء",30,https://images.unsplash.com/photo-1558030006-450675393462?w=300
MP010,DP006,1,1,Keto Breakfast,فطور كيتو,08:00,500,25,5,42,"3 eggs, bacon, avocado, cheese","3 بيضات، لحم مقدد، أفوكادو، جبنة",15,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
