Exercise ID,Exercise Name (EN),Exercise Name (AR),Category,Muscle Group,Equipment,Difficulty,Instructions (EN),Instructions (AR),Image URL,Video URL,Reps,Sets,Rest (sec)
EX001,Push-ups,تمرين الضغط,Strength,Chest,Bodyweight,Beginner,"Start in plank position, lower body until chest nearly touches floor, push back up","ابدأ بوضعية البلانك، انزل جسمك حتى يقترب صدرك من الأرض، ثم ادفع للأعلى",https://images.unsplash.com/photo-1598971639058-a69de8d53481?w=400,,12-15,3,60
EX002,Squats,السكوات,Strength,Legs,Bodyweight,Beginner,"Stand with feet shoulder-width apart, lower body as if sitting back into chair, return to standing","قف مع مباعدة القدمين بعرض الكتفين، انزل كأنك تجلس على كرسي، ثم عد للوقوف",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=400,,12-15,3,60
EX003,Deadlift,الديدليفت,Strength,Back,Barbell,Intermediate,"Stand with feet hip-width, grip bar, keep back straight, lift by extending hips and knees","قف مع مباعدة القدمين بعرض الورك، امسك البار، حافظ على استقامة الظهر، ارفع بمد الوركين والركبتين",https://images.unsplash.com/photo-1517963879433-6ad2b056d712?w=400,,8-10,4,90
EX004,Bench Press,بنش برس,Strength,Chest,Barbell,Intermediate,"Lie on bench, grip bar slightly wider than shoulders, lower to chest, press up","استلقِ على البنش، امسك البار أعرض قليلاً من الكتفين، انزل للصدر، ادفع للأعلى",https://images.unsplash.com/photo-1534368959876-26bf04f2c947?w=400,,8-12,4,90
EX005,Pull-ups,تمرين العقلة,Strength,Back,Pull-up Bar,Intermediate,"Hang from bar with overhand grip, pull body up until chin over bar, lower with control","تعلق من البار بقبضة علوية، اسحب جسمك حتى يتجاوز ذقنك البار، انزل بتحكم",https://images.unsplash.com/photo-1598971457999-ca4ef48a9a71?w=400,,6-12,3,90
EX006,Lunges,اللانجز,Strength,Legs,Bodyweight,Beginner,"Step forward with one leg, lower hips until both knees at 90 degrees, push back to start","اخطو للأمام بساق واحدة، انزل الوركين حتى تصبح الركبتان بزاوية 90 درجة، عد للبداية",https://images.unsplash.com/photo-1434682881908-b43d0467b798?w=400,,10-12 each,3,60
EX007,Plank,البلانك,Core,Abs,Bodyweight,Beginner,"Hold push-up position with arms straight or on forearms, keep body in straight line","احتفظ بوضعية الضغط مع الذراعين مستقيمتين أو على الساعدين، حافظ على استقامة الجسم",https://images.unsplash.com/photo-1566241142559-40e1dab266c6?w=400,,30-60 sec,3,45
EX008,Shoulder Press,ضغط الكتف,Strength,Shoulders,Dumbbells,Beginner,"Hold dumbbells at shoulder height, press overhead until arms straight, lower with control","امسك الدمبلز عند مستوى الكتف، ادفع للأعلى حتى تستقيم الذراعين، انزل بتحكم",https://images.unsplash.com/photo-1532029837206-abbe2b7620e3?w=400,,10-12,3,60
EX009,Bicep Curls,تمرين البايسبس,Strength,Arms,Dumbbells,Beginner,"Hold dumbbells at sides, curl weights up by bending elbows, lower slowly","امسك الدمبلز على الجانبين، ارفع الأوزان بثني المرفقين، انزل ببطء",https://images.unsplash.com/photo-1581009146145-b5ef050c149a?w=400,,12-15,3,60
EX010,Tricep Dips,تمرين الترايسبس,Strength,Arms,Bench/Chair,Beginner,"Grip edge of bench behind you, lower body by bending elbows to 90 degrees, push up","امسك حافة البنش خلفك، انزل جسمك بثني المرفقين لـ 90 درجة، ادفع للأعلى",https://images.unsplash.com/photo-1530822847156-5df684ec5ee1?w=400,,10-15,3,60
