Schedule ID,Program ID,Week,Day,Day Name (EN),Day Name (AR),Focus,Exercises (IDs),Notes (EN),Notes (AR)
WS001,WP001,1,1,Full Body A,الجسم الكامل أ,Full Body,"EX002,EX004,EX017,EX008,EX009,EX007","Focus on form. Light weights to learn movement patterns.","ركز على الفورم. أوزان خفيفة لتعلم أنماط الحركة."
WS002,WP001,1,2,Rest,راحة,Recovery,,"Active recovery. Light walking or stretching.","تعافي نشط. مشي خفيف أو إطالة."
WS003,WP001,1,3,Full Body B,الجسم الكامل ب,Full Body,"EX003,EX001,EX005,EX006,EX010,EX014","Slightly different exercises. Same focus on form.","تمارين مختلفة قليلاً. نفس التركيز على الفورم."
WS004,WP001,1,4,Rest,راحة,Recovery,,"Rest day. Stay active but don't train.","يوم راحة. ابقَ نشطاً لكن لا تتمرن."
WS005,WP001,1,5,Full Body C,الجسم الكامل ج,Full Body,"EX002,EX027,EX029,EX023,EX025,EX007","Mix of previous days. Start adding a little weight.","خليط من الأيام السابقة. ابدأ بإضافة وزن قليل."
WS006,WP002,1,1,Push Day,يوم الدفع,Chest/Shoulders/Triceps,"EX004,EX027,EX028,EX020,EX008,EX023,EX024,EX010,EX026","Start with compound movements. Finish with isolation.","ابدأ بالتمارين المركبة. أنهِ بالعزل."
WS007,WP002,1,2,Pull Day,يوم السحب,Back/Biceps,"EX003,EX005,EX029,EX017,EX011,EX018,EX009,EX025","Heavy pulling movements. Full back development.","حركات سحب ثقيلة. تطوير ظهر كامل."
WS008,WP002,1,3,Legs Day,يوم الأرجل,Legs/Glutes,"EX002,EX012,EX022,EX021,EX030,EX019,EX013","Don't skip leg day. Full lower body blast.","لا تتجاوز يوم الأرجل. تفجير كامل للجزء السفلي."
WS009,WP002,1,4,Push Day 2,يوم الدفع 2,Chest/Shoulders/Triceps,"EX027,EX004,EX020,EX023,EX008,EX024,EX026,EX010","Different order. Focus on mind-muscle connection.","ترتيب مختلف. ركز على الاتصال بين العقل والعضلة."
WS010,WP002,1,5,Pull Day 2,يوم السحب 2,Back/Biceps,"EX005,EX003,EX017,EX029,EX011,EX018,EX025,EX009","Higher reps today. Focus on squeeze and contraction.","تكرارات أعلى اليوم. ركز على الضغط والانقباض."
WS011,WP002,1,6,Legs Day 2,يوم الأرجل 2,Legs/Glutes,"EX035,EX002,EX030,EX012,EX021,EX022,EX019,EX013","Different variations. Hit muscles from new angles.","تنويعات مختلفة. استهدف العضلات من زوايا جديدة."
