Program ID,Program Name (EN),Program Name (AR),Goal,Duration (weeks),Calories/day,Protein (g),Carbs (g),Fat (g),Meals/day,Description (EN),Description (AR),Difficulty,Suitable For
DP001,Fat Loss Starter,برنامج حرق الدهون للمبتدئين,Weight Loss,8,1500,120,150,50,4,"Moderate calorie deficit with balanced macros. Perfect for beginners looking to lose 0.5-1kg per week.","عجز معتدل في السعرات مع توازن في المغذيات. مثالي للمبتدئين لخسارة 0.5-1 كجم أسبوعياً.",Beginner,Overweight beginners
DP002,Aggressive Cut,برنامج التنشيف المكثف,Weight Loss,6,1200,140,80,40,4,"Low-calorie plan for faster fat loss. Includes refeed days. For those with discipline.","خطة منخفضة السعرات لحرق دهون أسرع. تشمل أيام ريفيد. للملتزمين فقط.",Advanced,Experienced dieters
DP003,Lean Bulk,برنامج التضخيم النظيف,Muscle Gain,12,2800,180,350,80,5,"Slight caloric surplus focusing on muscle gain with minimal fat. High protein intake.","فائض بسيط في السعرات للتركيز على بناء العضلات مع أقل دهون. بروتين عالي.",Intermediate,Skinny individuals
DP004,Mass Gainer,برنامج زيادة الكتلة,Muscle Gain,16,3500,200,450,100,6,"High-calorie plan for hardgainers. Lots of complex carbs and clean proteins.","خطة عالية السعرات للصعبين في الزيادة. كربوهيدرات معقدة وبروتينات نظيفة.",Intermediate,Hardgainers/Ectomorphs
DP005,Maintenance,برنامج المحافظة,Maintenance,Ongoing,2200,150,250,70,4,"Balanced nutrition to maintain current weight and support active lifestyle.","تغذية متوازنة للمحافظة على الوزن ودعم نمط الحياة النشط.",Beginner,Anyone at goal weight
DP006,Keto Classic,برنامج الكيتو الكلاسيكي,Weight Loss,8,1800,120,30,140,3,"Very low carb high fat diet. Puts body in ketosis for fat burning.","حمية منخفضة الكربوهيدرات عالية الدهون. تضع الجسم في حالة كيتوزية لحرق الدهون.",Intermediate,Those who tolerate low carb
DP007,High Protein Cut,برنامج التنشيف عالي البروتين,Weight Loss,10,1600,180,100,55,5,"High protein to preserve muscle while cutting. Ideal for lifters.","بروتين عالي للحفاظ على العضلات أثناء التنشيف. مثالي لرافعي الأثقال.",Intermediate,Weightlifters cutting
DP008,Intermittent Fasting,برنامج الصيام المتقطع,Weight Loss,8,1800,130,180,65,2,"16:8 fasting protocol. Eat within 8-hour window. Simple and effective.","بروتوكول صيام 16:8. الأكل خلال نافذة 8 ساعات. بسيط وفعال.",Beginner,Busy professionals
DP009,Mediterranean,برنامج البحر المتوسط,Health,Ongoing,2000,100,220,80,4,"Heart-healthy diet rich in olive oil fish vegetables and whole grains.","حمية صحية للقلب غنية بزيت الزيتون والسمك والخضار والحبوب الكاملة.",Beginner,Heart health focus
DP010,Athlete Performance,برنامج الرياضي,Performance,Ongoing,3000,180,380,85,5,"Fuel for high-intensity training. Timed carbs around workouts.","وقود للتدريب عالي الكثافة. توقيت الكربوهيدرات حول التمارين.",Advanced,Competitive athletes
DP011,Clean Eating,برنامج الأكل النظيف,Health,Ongoing,2000,120,230,65,4,"Focus on whole unprocessed foods. No calorie counting just quality.","التركيز على الأطعمة الكاملة غير المصنعة. بدون حساب سعرات فقط الجودة.",Beginner,Anyone seeking health
DP012,Vegetarian Muscle,برنامج البناء النباتي,Muscle Gain,12,2600,150,320,75,5,"Plant-based muscle building plan. Focus on legumes tofu tempeh and dairy.","خطة بناء عضلات نباتية. التركيز على البقوليات والتوفو والتمبيه والألبان.",Intermediate,Vegetarians
DP013,Diabetic Friendly,برنامج صديق السكري,Health,Ongoing,1800,100,150,70,5,"Low glycemic foods spread throughout day. Stable blood sugar focus.","أطعمة منخفضة المؤشر الجلايسيمي موزعة على اليوم. التركيز على استقرار السكر.",Intermediate,Diabetics/Pre-diabetics
DP014,Post-Pregnancy,برنامج ما بعد الولادة,Weight Loss,16,1800,110,200,60,5,"Gentle weight loss while supporting nursing. Nutrient-dense foods.","خسارة وزن لطيفة مع دعم الرضاعة. أطعمة غنية بالمغذيات.",Beginner,New mothers
DP015,Senior Wellness,برنامج كبار السن,Health,Ongoing,1800,100,200,60,4,"Easy-to-digest meals with focus on bone and muscle health. Calcium and vitamin D rich.","وجبات سهلة الهضم مع التركيز على صحة العظام والعضلات. غني بالكالسيوم وفيتامين د.",Beginner,Seniors 60+
